# x, y, theta, v_l, v_r
286.91, 990.41, -0.544, 24.93, 24.93
287.12, 990.28, -0.544, 24.93, 24.93
287.33, 990.15, -0.544, 24.93, 24.93
287.55, 990.02, -0.544, 24.93, 24.93
287.76, 989.89, -0.544, 24.93, 24.93
287.97, 989.76, -0.544, 24.93, 24.93
288.19, 989.63, -0.544, 24.93, 24.93
288.40, 989.51, -0.544, 24.93, 24.93
288.61, 989.38, -0.544, 24.93, 24.93
288.83, 989.25, -0.544, 24.93, 24.93
289.04, 989.12, -0.544, 24.93, 24.93
289.25, 988.99, -0.544, 24.93, 24.93
289.47, 988.86, -0.544, 24.93, 24.93
289.68, 988.73, -0.544, 24.93, 24.93
289.89, 988.60, -0.544, 24.93, 24.93
290.11, 988.47, -0.544, 24.93, 24.93
290.32, 988.35, -0.544, 24.93, 24.93
290.53, 988.22, -0.544, 24.93, 24.93
290.75, 988.09, -0.544, 24.93, 24.93
290.96, 987.96, -0.544, 24.93, 24.93
291.17, 987.83, -0.544, 24.93, 24.93
291.39, 987.70, -0.544, 24.93, 24.93
291.60, 987.57, -0.544, 24.93, 24.93
291.81, 987.44, -0.544, 24.93, 24.93
291.81, 987.44, -0.420, -6.16, 6.16
291.81, 987.44, -0.297, -6.16, 6.16
291.81, 987.44, -0.174, -6.16, 6.16
291.81, 987.44, -0.051, -6.16, 6.16
291.81, 987.44, 0.072, -6.16, 6.16
291.81, 987.44, 0.195, -6.16, 6.16
291.81, 987.44, 0.319, -6.16, 6.16
291.81, 987.44, 0.442, -6.16, 6.16
291.81, 987.44, 0.565, -6.16, 6.16
291.81, 987.44, 0.688, -6.16, 6.16
291.81, 987.44, 0.811, -6.16, 6.16
291.91, 987.58, 0.999, 6.16, 24.93
292.04, 987.79, 0.999, 24.93, 24.93
292.18, 988.00, 0.999, 24.93, 24.93
292.31, 988.21, 0.999, 24.93, 24.93
292.45, 988.42, 0.999, 24.93, 24.93
292.58, 988.63, 0.999, 24.93, 24.93
292.72, 988.84, 0.999, 24.93, 24.93
292.85, 989.05, 0.999, 24.93, 24.93
292.99, 989.26, 0.999, 24.93, 24.93
293.12, 989.47, 0.999, 24.93, 24.93
293.26, 989.68, 0.999, 24.93, 24.93
293.39, 989.89, 0.999, 24.93, 24.93
293.53, 990.10, 0.999, 24.93, 24.93
293.66, 990.31, 0.999, 24.93, 24.93
293.80, 990.52, 0.999, 24.93, 24.93
293.93, 990.73, 0.999, 24.93, 24.93
294.07, 990.94, 0.999, 24.93, 24.93
294.20, 991.15, 0.999, 24.93, 24.93
294.34, 991.36, 0.999, 24.93, 24.93
294.47, 991.57, 0.999, 24.93, 24.93
294.47, 991.57, 0.876, 6.16, -6.16
294.47, 991.57, 0.753, 6.16, -6.16
294.47, 991.57, 0.629, 6.16, -6.16
294.47, 991.57, 0.506, 6.16, -6.16
294.47, 991.57, 0.629, -6.16, 6.16
294.67, 991.71, 0.629, 24.93, 24.93
294.81, 991.77, 0.442, 24.93, 6.16
294.95, 991.79, 0.254, 24.93, 6.16
295.20, 991.85, 0.254, 24.93, 24.93
295.44, 991.92, 0.254, 24.93, 24.93
295.68, 991.98, 0.254, 24.93, 24.93
295.83, 991.98, 0.066, 24.93, 6.16
296.08, 991.99, 0.066, 24.93, 24.93
296.23, 991.96, -0.121, 24.93, 6.16
296.48, 991.93, -0.121, 24.93, 24.93
296.63, 991.87, -0.309, 24.93, 6.16
296.87, 991.79, -0.309, 24.93, 24.93
297.11, 991.72, -0.309, 24.93, 24.93
297.25, 991.63, -0.497, 24.93, 6.16
297.47, 991.51, -0.497, 24.93, 24.93
297.60, 991.40, -0.684, 24.93, 6.16
297.79, 991.24, -0.684, 24.93, 24.93
297.99, 991.08, -0.684, 24.93, 24.93
298.18, 990.93, -0.684, 24.93, 24.93
298.37, 990.77, -0.684, 24.93, 24.93
298.57, 990.61, -0.684, 24.93, 24.93
298.76, 990.45, -0.684, 24.93, 24.93
298.95, 990.30, -0.684, 24.93, 24.93
299.14, 990.14, -0.684, 24.93, 24.93
299.34, 989.98, -0.684, 24.93, 24.93
299.53, 989.82, -0.684, 24.93, 24.93
299.72, 989.67, -0.684, 24.93, 24.93
299.92, 989.51, -0.684, 24.93, 24.93
300.11, 989.35, -0.684, 24.93, 24.93
300.30, 989.19, -0.684, 24.93, 24.93
300.50, 989.04, -0.684, 24.93, 24.93
300.69, 988.88, -0.684, 24.93, 24.93
300.88, 988.72, -0.684, 24.93, 24.93
301.08, 988.56, -0.684, 24.93, 24.93
301.27, 988.41, -0.684, 24.93, 24.93
301.27, 988.41, -0.561, -6.16, 6.16
301.27, 988.41, -0.438, -6.16, 6.16
301.27, 988.41, -0.315, -6.16, 6.16
301.27, 988.41, -0.192, -6.16, 6.16
301.27, 988.41, -0.069, -6.16, 6.16
301.27, 988.41, 0.055, -6.16, 6.16
301.27, 988.41, 0.178, -6.16, 6.16
301.27, 988.41, 0.301, -6.16, 6.16
301.27, 988.41, 0.424, -6.16, 6.16
301.27, 988.41, 0.547, -6.16, 6.16
301.27, 988.41, 0.670, -6.16, 6.16
301.38, 988.53, 0.858, 6.16, 24.93
301.54, 988.72, 0.858, 24.93, 24.93
301.71, 988.91, 0.858, 24.93, 24.93
301.87, 989.10, 0.858, 24.93, 24.93
302.03, 989.29, 0.858, 24.93, 24.93
302.20, 989.48, 0.858, 24.93, 24.93
302.36, 989.67, 0.858, 24.93, 24.93
302.52, 989.85, 0.858, 24.93, 24.93
302.69, 990.04, 0.858, 24.93, 24.93
302.85, 990.23, 0.858, 24.93, 24.93
303.01, 990.42, 0.858, 24.93, 24.93
303.17, 990.61, 0.858, 24.93, 24.93
303.34, 990.80, 0.858, 24.93, 24.93
303.50, 990.99, 0.858, 24.93, 24.93
303.66, 991.17, 0.858, 24.93, 24.93
303.83, 991.36, 0.858, 24.93, 24.93
303.99, 991.55, 0.858, 24.93, 24.93
304.15, 991.74, 0.858, 24.93, 24.93
304.31, 991.93, 0.858, 24.93, 24.93
304.48, 992.12, 0.858, 24.93, 24.93
304.64, 992.31, 0.858, 24.93, 24.93
304.80, 992.49, 0.858, 24.93, 24.93
304.97, 992.68, 0.858, 24.93, 24.93
304.97, 992.68, 0.735, 6.16, -6.16
304.97, 992.68, 0.612, 6.16, -6.16
304.97, 992.68, 0.489, 6.16, -6.16
304.97, 992.68, 0.366, 6.16, -6.16
305.20, 992.77, 0.366, 24.93, 24.93
305.43, 992.86, 0.366, 24.93, 24.93
305.67, 992.95, 0.366, 24.93, 24.93
305.90, 993.04, 0.366, 24.93, 24.93
306.13, 993.13, 0.366, 24.93, 24.93
306.36, 993.22, 0.366, 24.93, 24.93
306.60, 993.31, 0.366, 24.93, 24.93
306.75, 993.32, 0.178, 24.93, 6.16
306.99, 993.36, 0.178, 24.93, 24.93
307.24, 993.41, 0.178, 24.93, 24.93
307.48, 993.45, 0.178, 24.93, 24.93
307.64, 993.44, -0.010, 24.93, 6.16
307.89, 993.43, -0.010, 24.93, 24.93
308.14, 993.43, -0.010, 24.93, 24.93
308.29, 993.39, -0.198, 24.93, 6.16
308.53, 993.34, -0.198, 24.93, 24.93
308.78, 993.29, -0.198, 24.93, 24.93
308.93, 993.22, -0.385, 24.93, 6.16
309.16, 993.12, -0.385, 24.93, 24.93
309.39, 993.03, -0.385, 24.93, 24.93
309.53, 992.93, -0.573, 24.93, 6.16
309.74, 992.80, -0.573, 24.93, 24.93
309.95, 992.66, -0.573, 24.93, 24.93
310.07, 992.54, -0.761, 24.93, 6.16
310.25, 992.37, -0.761, 24.93, 24.93
310.43, 992.20, -0.761, 24.93, 24.93
310.61, 992.03, -0.761, 24.93, 24.93
310.79, 991.86, -0.761, 24.93, 24.93
310.97, 991.68, -0.761, 24.93, 24.93
311.15, 991.51, -0.761, 24.93, 24.93
311.33, 991.34, -0.761, 24.93, 24.93
311.51, 991.17, -0.761, 24.93, 24.93
311.51, 991.17, -0.637, -6.16, 6.16
311.51, 991.17, -0.514, -6.16, 6.16
311.51, 991.17, -0.391, -6.16, 6.16
311.51, 991.17, -0.268, -6.16, 6.16
311.51, 991.17, -0.145, -6.16, 6.16
311.51, 991.17, -0.022, -6.16, 6.16
311.51, 991.17, 0.102, -6.16, 6.16
311.51, 991.17, 0.225, -6.16, 6.16
311.51, 991.17, 0.348, -6.16, 6.16
311.51, 991.17, 0.471, -6.16, 6.16
311.51, 991.17, 0.594, -6.16, 6.16
311.51, 991.17, 0.717, -6.16, 6.16
311.51, 991.17, 0.841, -6.16, 6.16
311.51, 991.17, 0.964, -6.16, 6.16
311.65, 991.37, 0.964, 24.93, 24.93
311.80, 991.58, 0.964, 24.93, 24.93
311.80, 991.58, 0.841, 6.16, -6.16
311.80, 991.58, 0.717, 6.16, -6.16
311.94, 991.67, 0.592, 24.93, 12.41
312.15, 991.81, 0.592, 24.93, 24.93
312.29, 991.86, 0.405, 24.93, 6.16
312.52, 991.96, 0.405, 24.93, 24.93
312.75, 992.06, 0.405, 24.93, 24.93
312.98, 992.16, 0.405, 24.93, 24.93
313.20, 992.25, 0.405, 24.93, 24.93
313.43, 992.35, 0.405, 24.93, 24.93
313.58, 992.37, 0.217, 24.93, 6.16
313.82, 992.43, 0.217, 24.93, 24.93
314.07, 992.48, 0.217, 24.93, 24.93
314.22, 992.47, 0.029, 24.93, 6.16
314.47, 992.48, 0.029, 24.93, 24.93
314.72, 992.48, 0.029, 24.93, 24.93
314.97, 992.49, 0.029, 24.93, 24.93
315.22, 992.50, 0.029, 24.93, 24.93
315.47, 992.51, 0.029, 24.93, 24.93
315.72, 992.51, 0.029, 24.93, 24.93
315.97, 992.52, 0.029, 24.93, 24.93
316.22, 992.53, 0.029, 24.93, 24.93
316.46, 992.54, 0.029, 24.93, 24.93
316.71, 992.54, 0.029, 24.93, 24.93
316.96, 992.55, 0.029, 24.93, 24.93
317.12, 992.51, -0.158, 24.93, 6.16
317.36, 992.47, -0.158, 24.93, 24.93
317.61, 992.43, -0.158, 24.93, 24.93
317.76, 992.37, -0.346, 24.93, 6.16
317.82, 992.34, -0.346, 6.16, 6.16
317.82, 992.34, -0.223, -6.16, 6.16
317.82, 992.34, -0.100, -6.16, 6.16
317.82, 992.34, 0.023, -6.16, 6.16
317.82, 992.34, 0.147, -6.16, 6.16
317.82, 992.34, 0.270, -6.16, 6.16
317.82, 992.34, 0.393, -6.16, 6.16
317.82, 992.34, 0.516, -6.16, 6.16
317.82, 992.34, 0.639, -6.16, 6.16
317.82, 992.34, 0.762, -6.16, 6.16
317.82, 992.34, 0.886, -6.16, 6.16
317.82, 992.34, 1.009, -6.16, 6.16
317.82, 992.34, 1.132, -6.16, 6.16
317.82, 992.34, 1.255, -6.16, 6.16
317.82, 992.34, 1.378, -6.16, 6.16
317.83, 992.50, 1.566, 6.16, 24.93
317.83, 992.50, 1.443, 6.16, -6.16
317.83, 992.50, 1.320, 6.16, -6.16
317.83, 992.50, 1.196, 6.16, -6.16
317.83, 992.50, 1.320, -6.16, 6.16
317.86, 992.66, 1.507, 6.16, 24.93
317.86, 992.66, 1.384, 6.16, -6.16
317.86, 992.66, 1.261, 6.16, -6.16
317.86, 992.66, 1.384, -6.16, 6.16
317.87, 992.82, 1.572, 6.16, 24.93
317.87, 992.82, 1.449, 6.16, -6.16
317.87, 992.82, 1.325, 6.16, -6.16
317.87, 992.82, 1.202, 6.16, -6.16
317.87, 992.82, 1.325, -6.16, 6.16
317.90, 992.97, 1.513, 6.16, 24.93
317.90, 992.97, 1.390, 6.16, -6.16
317.90, 992.97, 1.267, 6.16, -6.16
317.90, 992.97, 1.390, -6.16, 6.16
317.91, 993.04, 1.390, 6.16, 6.16
317.91, 993.04, 1.267, 6.16, -6.16
317.91, 993.04, 1.390, -6.16, 6.16
317.92, 993.19, 1.578, 6.16, 24.93
317.92, 993.19, 1.454, 6.16, -6.16
317.92, 993.19, 1.331, 6.16, -6.16
317.92, 993.19, 1.208, 6.16, -6.16
317.92, 993.19, 1.331, -6.16, 6.16
317.94, 993.35, 1.519, 6.16, 24.93
317.94, 993.35, 1.396, 6.16, -6.16
317.94, 993.35, 1.273, 6.16, -6.16
317.94, 993.35, 1.396, -6.16, 6.16
317.96, 993.51, 1.583, 6.16, 24.93
317.96, 993.51, 1.460, 6.16, -6.16
317.96, 993.51, 1.337, 6.16, -6.16
317.96, 993.51, 1.214, 6.16, -6.16
317.96, 993.51, 1.337, -6.16, 6.16
317.97, 993.57, 1.337, 6.16, 6.16
317.97, 993.57, 1.214, 6.16, -6.16
317.97, 993.57, 1.337, -6.16, 6.16
317.99, 993.72, 1.525, 6.16, 24.93
317.99, 993.72, 1.402, 6.16, -6.16
317.99, 993.72, 1.279, 6.16, -6.16
317.99, 993.72, 1.402, -6.16, 6.16
318.00, 993.88, 1.589, 6.16, 24.93
318.00, 993.88, 1.466, 6.16, -6.16
318.00, 993.88, 1.343, 6.16, -6.16
318.00, 993.88, 1.220, 6.16, -6.16
318.00, 993.88, 1.343, -6.16, 6.16
318.06, 994.12, 1.343, 24.93, 24.93
318.06, 994.12, 1.220, 6.16, -6.16
318.06, 994.12, 1.343, -6.16, 6.16
318.08, 994.28, 1.531, 6.16, 24.93
318.08, 994.28, 1.408, 6.16, -6.16
318.08, 994.28, 1.284, 6.16, -6.16
318.08, 994.28, 1.161, 6.16, -6.16
318.08, 994.28, 1.284, -6.16, 6.16
318.11, 994.44, 1.472, 6.16, 24.93
318.11, 994.44, 1.349, 6.16, -6.16
318.11, 994.44, 1.226, 6.16, -6.16
318.11, 994.44, 1.349, -6.16, 6.16
318.12, 994.50, 1.349, 6.16, 6.16
318.12, 994.50, 1.226, 6.16, -6.16
318.12, 994.50, 1.349, -6.16, 6.16
318.14, 994.56, 1.349, 6.16, 6.16
318.14, 994.56, 1.226, 6.16, -6.16
318.14, 994.56, 1.349, -6.16, 6.16
318.16, 994.72, 1.537, 6.16, 24.93
318.16, 994.72, 1.413, 6.16, -6.16
318.16, 994.72, 1.290, 6.16, -6.16
318.16, 994.72, 1.167, 6.16, -6.16
318.16, 994.72, 1.290, -6.16, 6.16
318.23, 994.96, 1.290, 24.93, 24.93
318.23, 994.96, 1.167, 6.16, -6.16
318.23, 994.96, 1.290, -6.16, 6.16
318.25, 995.12, 1.478, 6.16, 24.93
318.25, 995.12, 1.355, 6.16, -6.16
318.25, 995.12, 1.232, 6.16, -6.16
318.25, 995.12, 1.108, 6.16, -6.16
318.25, 995.12, 1.232, -6.16, 6.16
318.29, 995.27, 1.419, 6.16, 24.93
318.29, 995.27, 1.296, 6.16, -6.16
318.29, 995.27, 1.173, 6.16, -6.16
318.29, 995.27, 1.296, -6.16, 6.16
318.31, 995.33, 1.296, 6.16, 6.16
318.31, 995.33, 1.173, 6.16, -6.16
318.31, 995.33, 1.296, -6.16, 6.16
318.34, 995.49, 1.484, 6.16, 24.93
318.34, 995.49, 1.361, 6.16, -6.16
318.34, 995.49, 1.237, 6.16, -6.16
318.34, 995.49, 1.114, 6.16, -6.16
318.34, 995.49, 1.237, -6.16, 6.16
318.36, 995.55, 1.237, 6.16, 6.16
318.36, 995.55, 1.114, 6.16, -6.16
318.36, 995.55, 1.237, -6.16, 6.16
318.44, 995.78, 1.237, 24.93, 24.93
318.44, 995.78, 1.114, 6.16, -6.16
318.55, 996.01, 1.114, 24.93, 24.93
318.63, 996.12, 0.927, 24.93, 6.16
318.78, 996.32, 0.927, 24.93, 24.93
318.93, 996.52, 0.927, 24.93, 24.93
319.03, 996.62, 0.739, 24.93, 6.16
319.22, 996.79, 0.739, 24.93, 24.93
319.40, 996.95, 0.739, 24.93, 24.93
319.59, 997.12, 0.739, 24.93, 24.93
319.77, 997.29, 0.739, 24.93, 24.93
319.89, 997.36, 0.551, 24.93, 6.16
320.11, 997.49, 0.551, 24.93, 24.93
320.32, 997.62, 0.551, 24.93, 24.93
320.53, 997.75, 0.551, 24.93, 24.93
320.67, 997.79, 0.364, 24.93, 6.16
320.90, 997.88, 0.364, 24.93, 24.93
321.14, 997.97, 0.364, 24.93, 24.93
321.37, 998.06, 0.364, 24.93, 24.93
321.60, 998.15, 0.364, 24.93, 24.93
321.84, 998.24, 0.364, 24.93, 24.93
322.07, 998.33, 0.364, 24.93, 24.93
322.30, 998.41, 0.364, 24.93, 24.93
322.53, 998.50, 0.364, 24.93, 24.93
322.77, 998.59, 0.364, 24.93, 24.93
323.00, 998.68, 0.364, 24.93, 24.93
323.23, 998.77, 0.364, 24.93, 24.93
323.47, 998.86, 0.364, 24.93, 24.93
323.70, 998.95, 0.364, 24.93, 24.93
323.93, 999.04, 0.364, 24.93, 24.93
324.17, 999.12, 0.364, 24.93, 24.93
324.40, 999.21, 0.364, 24.93, 24.93
324.63, 999.30, 0.364, 24.93, 24.93
324.86, 999.39, 0.364, 24.93, 24.93
325.10, 999.48, 0.364, 24.93, 24.93
325.33, 999.57, 0.364, 24.93, 24.93
325.56, 999.66, 0.364, 24.93, 24.93
325.70, 999.75, 0.551, 6.16, 24.93
325.70, 999.75, 0.674, -6.16, 6.16
325.70, 999.75, 0.798, -6.16, 6.16
325.70, 999.75, 0.921, -6.16, 6.16
325.70, 999.75, 1.044, -6.16, 6.16
325.70, 999.75, 1.167, -6.16, 6.16
325.70, 999.75, 1.290, -6.16, 6.16
325.70, 999.75, 1.413, -6.16, 6.16
325.70, 999.75, 1.537, -6.16, 6.16
325.70, 999.75, 1.660, -6.16, 6.16
325.70, 999.75, 1.783, -6.16, 6.16
325.70, 999.75, 1.906, -6.16, 6.16
325.62, 999.99, 1.906, 24.93, 24.93
325.56, 1000.11, 2.094, 6.16, 24.93
325.43, 1000.33, 2.094, 24.93, 24.93
325.31, 1000.55, 2.094, 24.93, 24.93
325.18, 1000.76, 2.094, 24.93, 24.93
325.06, 1000.98, 2.094, 24.93, 24.93
324.93, 1001.19, 2.094, 24.93, 24.93
324.81, 1001.41, 2.094, 24.93, 24.93
324.68, 1001.63, 2.094, 24.93, 24.93
324.56, 1001.84, 2.094, 24.93, 24.93
324.44, 1002.06, 2.094, 24.93, 24.93
324.44, 1002.06, 1.971, 6.16, -6.16
324.44, 1002.06, 1.847, 6.16, -6.16
324.44, 1002.06, 1.724, 6.16, -6.16
324.44, 1002.06, 1.847, -6.16, 6.16
324.41, 1002.22, 1.660, 24.93, 6.16
324.38, 1002.46, 1.660, 24.93, 24.93
324.39, 1002.62, 1.472, 24.93, 6.16
324.41, 1002.87, 1.472, 24.93, 24.93
324.43, 1003.12, 1.472, 24.93, 24.93
324.46, 1003.36, 1.472, 24.93, 24.93
324.49, 1003.51, 1.284, 24.93, 6.16
324.56, 1003.75, 1.284, 24.93, 24.93
324.63, 1003.99, 1.284, 24.93, 24.93
324.69, 1004.12, 1.097, 24.93, 6.16
324.80, 1004.34, 1.097, 24.93, 24.93
324.92, 1004.57, 1.097, 24.93, 24.93
325.00, 1004.68, 0.909, 24.93, 6.16
325.15, 1004.88, 0.909, 24.93, 24.93
325.30, 1005.07, 0.909, 24.93, 24.93
325.41, 1005.17, 0.721, 24.93, 6.16
325.60, 1005.33, 0.721, 24.93, 24.93
325.79, 1005.50, 0.721, 24.93, 24.93
325.91, 1005.56, 0.534, 24.93, 6.16
326.13, 1005.69, 0.534, 24.93, 24.93
326.34, 1005.82, 0.534, 24.93, 24.93
326.56, 1005.94, 0.534, 24.93, 24.93
326.77, 1006.07, 0.534, 24.93, 24.93
326.98, 1006.20, 0.534, 24.93, 24.93
327.20, 1006.32, 0.534, 24.93, 24.93
327.41, 1006.45, 0.534, 24.93, 24.93
327.63, 1006.58, 0.534, 24.93, 24.93
327.63, 1006.58, 0.657, -6.16, 6.16
327.63, 1006.58, 0.780, -6.16, 6.16
327.63, 1006.58, 0.903, -6.16, 6.16
327.63, 1006.58, 1.026, -6.16, 6.16
327.63, 1006.58, 1.149, -6.16, 6.16
327.63, 1006.58, 1.273, -6.16, 6.16
327.63, 1006.58, 1.396, -6.16, 6.16
327.63, 1006.58, 1.519, -6.16, 6.16
327.63, 1006.58, 1.642, -6.16, 6.16
327.63, 1006.58, 1.765, -6.16, 6.16
327.63, 1006.58, 1.888, -6.16, 6.16
327.63, 1006.58, 2.012, -6.16, 6.16
327.58, 1006.73, 1.824, 24.93, 6.16
327.51, 1006.98, 1.824, 24.93, 24.93
327.45, 1007.22, 1.824, 24.93, 24.93
327.39, 1007.46, 1.824, 24.93, 24.93
327.36, 1007.62, 1.636, 24.93, 6.16
327.35, 1007.86, 1.636, 24.93, 24.93
327.33, 1008.11, 1.636, 24.93, 24.93
327.31, 1008.36, 1.636, 24.93, 24.93
327.30, 1008.61, 1.636, 24.93, 24.93
327.28, 1008.86, 1.636, 24.93, 24.93
327.27, 1009.11, 1.636, 24.93, 24.93
327.27, 1009.26, 1.449, 24.93, 6.16
327.30, 1009.51, 1.449, 24.93, 24.93
327.33, 1009.76, 1.449, 24.93, 24.93
327.36, 1010.01, 1.449, 24.93, 24.93
327.39, 1010.25, 1.449, 24.93, 24.93
327.42, 1010.50, 1.449, 24.93, 24.93
327.45, 1010.75, 1.449, 24.93, 24.93
327.48, 1010.99, 1.449, 24.93, 24.93
327.52, 1011.14, 1.261, 24.93, 6.16
327.59, 1011.38, 1.261, 24.93, 24.93
327.67, 1011.61, 1.261, 24.93, 24.93
327.73, 1011.75, 1.073, 24.93, 6.16
327.85, 1011.97, 1.073, 24.93, 24.93
327.97, 1012.18, 1.073, 24.93, 24.93
328.05, 1012.30, 0.886, 24.93, 6.16
328.21, 1012.49, 0.886, 24.93, 24.93
328.37, 1012.68, 0.886, 24.93, 24.93
328.53, 1012.88, 0.886, 24.93, 24.93
328.68, 1013.07, 0.886, 24.93, 24.93
328.84, 1013.26, 0.886, 24.93, 24.93
329.00, 1013.45, 0.886, 24.93, 24.93
329.16, 1013.65, 0.886, 24.93, 24.93
329.32, 1013.84, 0.886, 24.93, 24.93
329.47, 1014.03, 0.886, 24.93, 24.93
329.63, 1014.23, 0.886, 24.93, 24.93
329.79, 1014.42, 0.886, 24.93, 24.93
329.95, 1014.61, 0.886, 24.93, 24.93
330.10, 1014.81, 0.886, 24.93, 24.93
330.26, 1015.00, 0.886, 24.93, 24.93
330.42, 1015.19, 0.886, 24.93, 24.93
330.58, 1015.38, 0.886, 24.93, 24.93
330.74, 1015.58, 0.886, 24.93, 24.93
330.89, 1015.77, 0.886, 24.93, 24.93
331.05, 1015.96, 0.886, 24.93, 24.93
331.21, 1016.16, 0.886, 24.93, 24.93
331.37, 1016.35, 0.886, 24.93, 24.93
331.52, 1016.54, 0.886, 24.93, 24.93
331.52, 1016.54, 1.009, -6.16, 6.16
331.52, 1016.54, 1.132, -6.16, 6.16
331.52, 1016.54, 1.255, -6.16, 6.16
331.52, 1016.54, 1.378, -6.16, 6.16
331.52, 1016.54, 1.501, -6.16, 6.16
331.52, 1016.54, 1.625, -6.16, 6.16
331.52, 1016.54, 1.748, -6.16, 6.16
331.52, 1016.54, 1.871, -6.16, 6.16
331.52, 1016.54, 1.994, -6.16, 6.16
331.52, 1016.54, 2.117, -6.16, 6.16
331.52, 1016.54, 2.240, -6.16, 6.16
331.42, 1016.63, 2.428, 6.16, 24.93
331.23, 1016.80, 2.428, 24.93, 24.93
331.04, 1016.96, 2.428, 24.93, 24.93
330.85, 1017.12, 2.428, 24.93, 24.93
330.66, 1017.29, 2.428, 24.93, 24.93
330.47, 1017.45, 2.428, 24.93, 24.93
330.29, 1017.61, 2.428, 24.93, 24.93
330.10, 1017.78, 2.428, 24.93, 24.93
329.91, 1017.94, 2.428, 24.93, 24.93
329.72, 1018.10, 2.428, 24.93, 24.93
329.53, 1018.27, 2.428, 24.93, 24.93
329.34, 1018.43, 2.428, 24.93, 24.93
329.16, 1018.59, 2.428, 24.93, 24.93
328.97, 1018.76, 2.428, 24.93, 24.93
328.78, 1018.92, 2.428, 24.93, 24.93
328.59, 1019.08, 2.428, 24.93, 24.93
328.40, 1019.25, 2.428, 24.93, 24.93
328.21, 1019.41, 2.428, 24.93, 24.93
328.02, 1019.57, 2.428, 24.93, 24.93
327.84, 1019.73, 2.428, 24.93, 24.93
327.65, 1019.90, 2.428, 24.93, 24.93
327.46, 1020.06, 2.428, 24.93, 24.93
327.46, 1020.06, 2.305, 6.16, -6.16
327.46, 1020.06, 2.182, 6.16, -6.16
327.46, 1020.06, 2.059, 6.16, -6.16
327.46, 1020.06, 1.935, 6.16, -6.16
327.42, 1020.22, 1.748, 24.93, 6.16
327.37, 1020.46, 1.748, 24.93, 24.93
327.33, 1020.71, 1.748, 24.93, 24.93
327.29, 1020.95, 1.748, 24.93, 24.93
327.24, 1021.20, 1.748, 24.93, 24.93
327.23, 1021.36, 1.560, 24.93, 6.16
327.23, 1021.61, 1.560, 24.93, 24.93
327.25, 1021.76, 1.372, 24.93, 6.16
327.30, 1022.00, 1.372, 24.93, 24.93
327.35, 1022.25, 1.372, 24.93, 24.93
327.40, 1022.49, 1.372, 24.93, 24.93
327.44, 1022.73, 1.372, 24.93, 24.93
327.49, 1022.98, 1.372, 24.93, 24.93
327.54, 1023.22, 1.372, 24.93, 24.93
327.59, 1023.47, 1.372, 24.93, 24.93
327.64, 1023.71, 1.372, 24.93, 24.93
327.69, 1023.85, 1.185, 24.93, 6.16
327.78, 1024.08, 1.185, 24.93, 24.93
327.87, 1024.31, 1.185, 24.93, 24.93
327.97, 1024.55, 1.185, 24.93, 24.93
328.06, 1024.78, 1.185, 24.93, 24.93
328.13, 1024.90, 0.997, 24.93, 6.16
328.27, 1025.11, 0.997, 24.93, 24.93
328.40, 1025.32, 0.997, 24.93, 24.93
328.54, 1025.53, 0.997, 24.93, 24.93
328.67, 1025.74, 0.997, 24.93, 24.93
328.81, 1025.95, 0.997, 24.93, 24.93
328.94, 1026.16, 0.997, 24.93, 24.93
329.08, 1026.37, 0.997, 24.93, 24.93
329.22, 1026.58, 0.997, 24.93, 24.93
329.35, 1026.78, 0.997, 24.93, 24.93
329.49, 1026.99, 0.997, 24.93, 24.93
329.62, 1027.20, 0.997, 24.93, 24.93
329.76, 1027.41, 0.997, 24.93, 24.93
329.89, 1027.62, 0.997, 24.93, 24.93
330.03, 1027.83, 0.997, 24.93, 24.93
330.16, 1028.04, 0.997, 24.93, 24.93
330.30, 1028.25, 0.997, 24.93, 24.93
330.43, 1028.46, 0.997, 24.93, 24.93
330.57, 1028.67, 0.997, 24.93, 24.93
330.70, 1028.88, 0.997, 24.93, 24.93
330.84, 1029.09, 0.997, 24.93, 24.93
330.97, 1029.30, 0.997, 24.93, 24.93
331.11, 1029.51, 0.997, 24.93, 24.93
331.25, 1029.72, 0.997, 24.93, 24.93
331.38, 1029.92, 0.997, 24.93, 24.93
331.52, 1030.13, 0.997, 24.93, 24.93
331.65, 1030.34, 0.997, 24.93, 24.93
331.79, 1030.55, 0.997, 24.93, 24.93
331.92, 1030.76, 0.997, 24.93, 24.93
332.06, 1030.97, 0.997, 24.93, 24.93
332.19, 1031.18, 0.997, 24.93, 24.93
332.33, 1031.39, 0.997, 24.93, 24.93
332.46, 1031.60, 0.997, 24.93, 24.93
332.60, 1031.81, 0.997, 24.93, 24.93
332.60, 1031.81, 1.120, -6.16, 6.16
332.60, 1031.81, 1.243, -6.16, 6.16
332.60, 1031.81, 1.366, -6.16, 6.16
332.60, 1031.81, 1.490, -6.16, 6.16
332.60, 1031.81, 1.613, -6.16, 6.16
332.60, 1031.81, 1.736, -6.16, 6.16
332.60, 1031.81, 1.859, -6.16, 6.16
332.60, 1031.81, 1.982, -6.16, 6.16
332.60, 1031.81, 2.105, -6.16, 6.16
332.60, 1031.81, 2.229, -6.16, 6.16
332.60, 1031.81, 2.352, -6.16, 6.16
332.48, 1031.89, 2.540, 6.16, 24.93
332.27, 1032.03, 2.540, 24.93, 24.93
