# x, y, theta, v_l, v_r
41.87, 282.01, 1.820, 24.93, 24.93
41.81, 282.25, 1.820, 24.93, 24.93
41.74, 282.49, 1.820, 24.93, 24.93
41.68, 282.73, 1.820, 24.93, 24.93
41.62, 282.97, 1.820, 24.93, 24.93
41.56, 283.21, 1.820, 24.93, 24.93
41.50, 283.46, 1.820, 24.93, 24.93
41.44, 283.70, 1.820, 24.93, 24.93
41.38, 283.94, 1.820, 24.93, 24.93
41.31, 284.18, 1.820, 24.93, 24.93
41.25, 284.42, 1.820, 24.93, 24.93
41.19, 284.66, 1.820, 24.93, 24.93
41.13, 284.90, 1.820, 24.93, 24.93
41.07, 285.15, 1.820, 24.93, 24.93
41.01, 285.39, 1.820, 24.93, 24.93
40.95, 285.63, 1.820, 24.93, 24.93
40.88, 285.87, 1.820, 24.93, 24.93
40.82, 286.11, 1.820, 24.93, 24.93
40.76, 286.35, 1.820, 24.93, 24.93
40.70, 286.60, 1.820, 24.93, 24.93
40.64, 286.84, 1.820, 24.93, 24.93
40.58, 287.08, 1.820, 24.93, 24.93
40.51, 287.32, 1.820, 24.93, 24.93
40.45, 287.56, 1.820, 24.93, 24.93
40.39, 287.80, 1.820, 24.93, 24.93
40.33, 288.04, 1.820, 24.93, 24.93
40.27, 288.29, 1.820, 24.93, 24.93
40.21, 288.53, 1.820, 24.93, 24.93
40.15, 288.77, 1.820, 24.93, 24.93
40.08, 289.01, 1.820, 24.93, 24.93
40.02, 289.25, 1.820, 24.93, 24.93
39.96, 289.49, 1.820, 24.93, 24.93
39.90, 289.74, 1.820, 24.93, 24.93
39.84, 289.98, 1.820, 24.93, 24.93
39.78, 290.22, 1.820, 24.93, 24.93
39.72, 290.46, 1.820, 24.93, 24.93
39.65, 290.70, 1.820, 24.93, 24.93
39.59, 290.94, 1.820, 24.93, 24.93
39.53, 291.19, 1.820, 24.93, 24.93
39.47, 291.43, 1.820, 24.93, 24.93
39.41, 291.67, 1.820, 24.93, 24.93
39.35, 291.91, 1.820, 24.93, 24.93
39.28, 292.15, 1.820, 24.93, 24.93
39.22, 292.39, 1.820, 24.93, 24.93
39.16, 292.63, 1.820, 24.93, 24.93
39.10, 292.88, 1.820, 24.93, 24.93
39.04, 293.12, 1.820, 24.93, 24.93
38.98, 293.36, 1.820, 24.93, 24.93
38.92, 293.60, 1.820, 24.93, 24.93
38.85, 293.84, 1.820, 24.93, 24.93
38.79, 294.08, 1.820, 24.93, 24.93
38.73, 294.33, 1.820, 24.93, 24.93
38.67, 294.57, 1.820, 24.93, 24.93
38.61, 294.81, 1.820, 24.93, 24.93
38.55, 295.05, 1.820, 24.93, 24.93
38.49, 295.29, 1.820, 24.93, 24.93
38.42, 295.53, 1.820, 24.93, 24.93
38.36, 295.77, 1.820, 24.93, 24.93
38.30, 296.02, 1.820, 24.93, 24.93
